"구분별(1)",구분별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),TV 홈쇼핑,TV 홈쇼핑,TV 홈쇼핑,국내 온라인 쇼핑몰,국내 온라인 쇼핑몰,국내 온라인 쇼핑몰,해외직구,해외직구,해외직구,개인 간 거래,개인 간 거래,개인 간 거래
"구분별(1)",구분별(2),사례수 (명),있음 (%),없음 (%),사례수 (명),있음 (%),없음 (%),사례수 (명),있음 (%),없음 (%),사례수 (명),있음 (%),없음 (%)
"상세직업",전업주부,1063.8,75.4,24.6,1063.8,70.1,29.9,1063.8,9.6,90.4,1063.8,14.7,85.3
"상세직업",군인(직업군인제외),6.9,22.2,77.8,6.9,100.0,0.0,6.9,22.8,77.2,6.9,42.3,57.7
"상세직업",기타/무직,276.0,30.3,69.7,276.0,84.4,15.6,276.0,11.2,88.8,276.0,14.3,85.7
"주택형태",단독주택,1453.2,46.6,53.4,1453.2,79.6,20.4,1453.2,13.1,86.9,1453.2,14.5,85.5
"주택형태",아파트,3895.1,43.7,56.3,3895.1,87.4,12.6,3895.1,16.9,83.1,3895.1,18.1,81.9
"주택형태",연립주택빌라다세대주택,1416.8,46.3,53.7,1416.8,89.1,10.9,1416.8,14.0,86.0,1416.8,18.9,81.1
"주택형태",비거주용건물내의주택,119.6,53.4,46.6,119.6,87.5,12.5,119.6,17.0,83.0,119.6,19.7,80.3
"주택형태",기타,13.2,46.2,53.8,13.2,86.1,13.9,13.2,8.2,91.8,13.2,19.3,80.7
"가족구성",1인가구,858.0,47.4,52.6,858.0,84.9,15.1,858.0,12.9,87.1,858.0,20.3,79.7
"가족구성",1세대가구,1015.5,59.3,40.7,1015.5,70.0,30.0,1015.5,12.0,88.0,1015.5,15.7,84.3
"가족구성",2세대가구,4485.4,42.2,57.8,4485.4,89.5,10.5,4485.4,16.9,83.1,4485.4,17.6,82.4
"가족구성",3세대가구,297.8,40.9,59.1,297.8,86.9,13.1,297.8,12.9,87.1,297.8,14.4,85.6
"가족구성",기타,241.0,34.1,65.9,241.0,93.1,6.9,241.0,16.3,83.7,241.0,17.8,82.2
"가구원수1",1인가구,858.0,47.4,52.6,858.0,84.9,15.1,858.0,12.9,87.1,858.0,20.3,79.7
"가구원수1",2인가구,1659.0,50.5,49.5,1659.0,77.0,23.0,1659.0,13.0,87.0,1659.0,16.4,83.6
"가구원수1",3인이상가구,4380.8,42.5,57.5,4380.8,89.8,10.2,4380.8,17.0,83.0,4380.8,17.5,82.5
"가구주와의관계",가구주,2925.6,41.7,58.3,2925.6,85.6,14.4,2925.6,13.0,87.0,2925.6,15.2,84.8
"가구주와의관계",가구주의배우자,1996.5,73.1,26.9,1996.5,77.4,22.6,1996.5,12.8,87.2,1996.5,16.8,83.2
"가구주와의관계",가구주의자녀,1756.6,19.2,80.8,1756.6,96.9,3.1,1756.6,22.9,77.1,1756.6,22.5,77.5
"가구주와의관계",자녀의배우자,27.0,39.1,60.9,27.0,95.9,4.1,27.0,9.2,90.8,27.0,10.2,89.8
"가구주와의관계",손자.녀/그배우자,60.8,21.4,78.6,60.8,97.2,2.8,60.8,14.3,85.7,60.8,20.2,79.8
"가구주와의관계",부모(배우자부모포함),27.9,97.5,2.5,27.9,5.9,94.1,27.9,0.0,100.0,27.9,0.0,100.0
"가구주와의관계",형제자매/그배우자,79.5,22.6,77.4,79.5,97.8,2.2,79.5,16.1,83.9,79.5,23.8,76.2
"가구주와의관계",기타친인척,14.6,67.4,32.6,14.6,93.6,6.4,14.6,28.6,71.4,14.6,8.6,91.4
"가구주와의관계",동거인,9.3,100.0,0.0,9.3,100.0,0.0,9.3,20.1,79.9,9.3,0.0,100.0
